contract_id,insured_id,contract_type,subscription_date,annual_premium,vehicle_brand,vehicle_age,vehicle_value,vehicle_usage,contract_status
CTR_000107,INS_000164,Tous risques,2021-03-27,1038.0,Tesla,4,17300.0,personnel,actif
CTR_000108,INS_000165,Tiers étendu,2020-07-24,289.8,Peugeot,6,5600.0,mixte,actif
CTR_000109,INS_000166,Au tiers,2026-02-28,320.0,Mercedes,1,12800.0,personnel,actif
CTR_000110,INS_000166,Tous risques,2024-10-30,330.0,Dacia,13,5500.0,personnel,actif
CTR_000111,INS_000166,Tous risques,2024-12-09,414.0,BMW,11,6900.0,personnel,actif
CTR_000112,INS_000167,Tiers + vol/incendie,2025-07-01,539.0,Hyundai,3,15400.0,personnel,actif
CTR_000113,INS_000168,Au tiers,2021-01-29,200.0,Tesla,11,7200.0,personnel,actif
CTR_000114,INS_000169,Tous risques,2021-08-23,492.0,Nissan,6,8200.0,personnel,actif
CTR_000115,INS_000171,Tous risques + assistance,2023-08-08,352.5,Peugeot,13,4700.0,personnel,actif
CTR_000116,INS_000173,Au tiers,2021-08-26,200.0,Hyundai,10,2500.0,professionnel,actif
CTR_000117,INS_000174,Tous risques,2023-11-07,204.0,Kia,13,3400.0,personnel,actif
CTR_000118,INS_000177,Tiers étendu,2021-07-20,652.05,Renault,5,12600.0,mixte,actif
CTR_000119,INS_000179,Tiers + vol/incendie,2024-03-31,609.0,BMW,5,17400.0,personnel,actif
CTR_000120,INS_000180,Au tiers,2022-07-30,200.0,Peugeot,5,800.0,personnel,actif
CTR_000121,INS_000181,Au tiers,2023-07-01,200.0,Peugeot,2,3500.0,personnel,actif
CTR_000122,INS_000182,Tous risques,2026-02-16,920.4,Volvo,2,11800.0,professionnel,actif
CTR_000123,INS_000183,Tous risques + assistance,2021-02-04,637.5,Peugeot,11,8500.0,personnel,actif
CTR_000124,INS_000187,Tous risques,2021-09-07,774.0,Volvo,6,12900.0,personnel,actif
CTR_000125,INS_000189,Au tiers,2021-11-08,200.0,Hyundai,1,7600.0,personnel,actif
CTR_000126,INS_000190,Tous risques + assistance,2023-12-25,217.5,Nissan,16,2900.0,personnel,actif
CTR_000127,INS_000192,Tous risques + assistance,2022-05-30,922.5,Peugeot,4,12300.0,personnel,actif
CTR_000128,INS_000194,Au tiers,2025-07-22,200.0,Renault,8,800.0,personnel,actif
CTR_000129,INS_000196,Tiers étendu,2024-06-21,450.0,Dacia,14,10000.0,personnel,actif
CTR_000130,INS_000197,Tous risques,2022-05-25,210.0,Fiat,2,3500.0,personnel,actif
CTR_000131,INS_000199,Au tiers,2021-09-11,257.5,Kia,2,10300.0,personnel,actif
CTR_000132,INS_000201,Tous risques,2021-07-05,450.0,Kia,14,7500.0,personnel,actif
CTR_000133,INS_000203,Tiers étendu,2022-10-17,504.0,Fiat,0,11200.0,personnel,actif
CTR_000134,INS_000203,Tous risques,2025-01-11,1170.0,Citroën,5,15000.0,professionnel,actif
CTR_000135,INS_000203,Au tiers,2022-03-08,360.0,Skoda,6,14400.0,personnel,actif
CTR_000136,INS_000206,Tiers + vol/incendie,2023-01-19,241.15,Hyundai,17,5300.0,professionnel,actif
CTR_000137,INS_000208,Tous risques,2025-02-25,486.0,Tesla,7,8100.0,personnel,actif
CTR_000138,INS_000209,Tous risques + assistance,2021-06-08,1245.0,Volvo,7,16600.0,personnel,actif
CTR_000139,INS_000211,Tous risques,2023-11-24,1140.0,Kia,4,19000.0,personnel,actif
CTR_000140,INS_000212,Tiers + vol/incendie,2022-12-23,220.5,Seat,6,6300.0,personnel,actif
CTR_000141,INS_000213,Au tiers,2021-07-22,282.75,Mercedes,17,8700.0,professionnel,actif
CTR_000142,INS_000216,Tous risques,2021-06-09,630.0,Volkswagen,7,10500.0,personnel,actif
CTR_000143,INS_000217,Tiers + vol/incendie,2020-09-21,413.0,Toyota,12,11800.0,personnel,actif
CTR_000144,INS_000218,Tiers + vol/incendie,2025-04-04,731.5,Hyundai,4,20900.0,personnel,actif
CTR_000145,INS_000219,Tiers + vol/incendie,2026-02-06,598.5,Mercedes,11,17100.0,personnel,actif
CTR_000146,INS_000220,Au tiers,2021-11-18,200.0,Mercedes,6,6200.0,mixte,actif
CTR_000147,INS_000221,Tiers + vol/incendie,2024-11-24,227.5,Seat,13,6500.0,personnel,actif
CTR_000148,INS_000222,Tiers + vol/incendie,2024-03-19,437.5,Renault,1,12500.0,personnel,actif
CTR_000149,INS_000223,Tiers étendu,2023-03-28,994.5,Dacia,2,22100.0,personnel,actif
CTR_000150,INS_000225,Tous risques,2025-10-28,642.0,Nissan,4,10700.0,personnel,actif
CTR_000151,INS_000226,Tous risques,2025-04-27,846.0,BMW,14,14100.0,personnel,actif
CTR_000152,INS_000227,Au tiers,2022-01-21,200.0,Seat,17,6900.0,personnel,actif
CTR_000153,INS_000228,Tous risques,2023-11-01,1200.0,Ford,3,20000.0,personnel,actif
CTR_000154,INS_000229,Tous risques + assistance,2024-03-20,1507.5,Nissan,6,20100.0,personnel,actif
CTR_000155,INS_000231,Tiers étendu,2022-07-23,200.0,Peugeot,17,3000.0,personnel,suspendu
CTR_000156,INS_000232,Tiers + vol/incendie,2024-02-16,633.5,Fiat,1,18100.0,personnel,actif
CTR_000157,INS_000233,Au tiers,2025-05-18,351.0,Skoda,11,10800.0,professionnel,actif
CTR_000158,INS_000234,Tous risques,2022-07-14,1104.0,Peugeot,2,18400.0,personnel,actif
CTR_000159,INS_000235,Tiers étendu,2025-05-28,256.5,Fiat,6,5700.0,personnel,suspendu
CTR_000160,INS_000236,Tiers étendu,2020-12-12,841.5,Mercedes,0,18700.0,personnel,actif
CTR_000161,INS_000238,Tous risques + assistance,2024-07-11,955.5,Hyundai,13,9800.0,professionnel,actif
CTR_000162,INS_000239,Tiers + vol/incendie,2026-05-19,200.0,Nissan,8,800.0,personnel,actif
CTR_000163,INS_000241,Tous risques,2026-04-15,1014.0,Nissan,10,13000.0,professionnel,actif
CTR_000164,INS_000243,Tous risques,2022-10-27,327.6,Kia,1,4200.0,professionnel,actif
CTR_000165,INS_000244,Au tiers,2025-04-12,390.0,Dacia,7,12000.0,professionnel,actif
CTR_000166,INS_000245,Tiers + vol/incendie,2023-10-09,237.48,BMW,10,5900.0,mixte,actif
CTR_000167,INS_000249,Tous risques,2020-10-17,984.0,Seat,11,16400.0,personnel,actif
CTR_000168,INS_000250,Tiers + vol/incendie,2023-04-29,780.5,Audi,0,22300.0,personnel,actif
CTR_000169,INS_000251,Tous risques,2025-10-11,1032.0,Mercedes,2,17200.0,personnel,actif
CTR_000170,INS_000252,Tiers + vol/incendie,2026-02-27,910.0,Mercedes,5,20000.0,professionnel,actif
CTR_000171,INS_000253,Au tiers,2022-08-13,200.0,Skoda,10,800.0,personnel,actif
CTR_000172,INS_000254,Tous risques,2021-11-15,612.0,Peugeot,4,10200.0,personnel,actif
CTR_000173,INS_000256,Tiers étendu,2024-03-26,207.0,Citroën,19,4600.0,personnel,actif
CTR_000174,INS_000258,Tous risques,2020-10-04,524.4,Seat,18,7600.0,mixte,actif
CTR_000175,INS_000259,Tiers + vol/incendie,2025-11-22,222.95,Kia,9,4900.0,professionnel,actif
CTR_000176,INS_000260,Tiers + vol/incendie,2022-11-23,200.0,Renault,13,3700.0,professionnel,actif
CTR_000177,INS_000262,Au tiers,2021-01-10,505.0,Seat,1,20200.0,personnel,actif
CTR_000178,INS_000265,Tous risques,2023-03-26,444.0,Skoda,5,7400.0,personnel,actif
CTR_000179,INS_000266,Tous risques + assistance,2026-05-08,1005.0,Opel,4,13400.0,personnel,résilié
CTR_000180,INS_000268,Tiers + vol/incendie,2021-09-17,200.0,Renault,1,800.0,personnel,actif
CTR_000181,INS_000269,Tiers étendu,2022-10-27,310.5,Skoda,13,6900.0,personnel,actif
CTR_000182,INS_000276,Tous risques,2023-11-20,1380.6,Dacia,0,17700.0,professionnel,actif
CTR_000183,INS_000278,Tiers étendu,2022-08-15,1017.9,Kia,0,17400.0,professionnel,actif
CTR_000184,INS_000279,Tiers étendu,2022-02-16,200.0,Ford,5,800.0,personnel,actif
CTR_000185,INS_000280,Tiers + vol/incendie,2023-01-17,373.1,Toyota,6,8200.0,professionnel,actif
CTR_000186,INS_000282,Tiers étendu,2026-05-08,245.7,Renault,19,4200.0,professionnel,actif
CTR_000187,INS_000285,Tous risques,2022-01-08,780.0,Kia,8,13000.0,personnel,actif
CTR_000188,INS_000286,Tous risques,2024-12-25,378.0,Nissan,2,6300.0,personnel,résilié
CTR_000189,INS_000287,Au tiers,2023-01-01,297.5,Fiat,5,11900.0,personnel,actif
CTR_000190,INS_000289,Tiers étendu,2022-04-21,616.5,Nissan,4,13700.0,personnel,résilié
CTR_000191,INS_000290,Tiers étendu,2021-10-18,243.0,Ford,7,5400.0,personnel,actif
CTR_000192,INS_000291,Au tiers,2021-08-24,200.0,Kia,0,800.0,professionnel,actif
CTR_000193,INS_000293,Tous risques,2023-11-18,200.1,Ford,17,2900.0,mixte,actif
CTR_000194,INS_000294,Tous risques,2024-07-13,1349.4,Renault,6,17300.0,professionnel,actif
CTR_000195,INS_000296,Tiers étendu,2025-12-13,216.0,Tesla,6,4800.0,personnel,suspendu
CTR_000196,INS_000299,Tiers étendu,2021-02-27,200.0,Audi,20,2600.0,personnel,actif
CTR_000197,INS_000301,Tous risques,2024-03-13,413.4,BMW,12,5300.0,professionnel,actif
CTR_000198,INS_000302,Tiers + vol/incendie,2024-12-28,710.5,Volvo,5,20300.0,personnel,actif
CTR_000199,INS_000304,Au tiers,2023-09-15,200.0,Fiat,9,4500.0,personnel,actif
CTR_000200,INS_000305,Tiers + vol/incendie,2022-06-06,914.55,Skoda,3,20100.0,professionnel,actif
CTR_000201,INS_000306,Tiers étendu,2021-11-23,533.02,Mercedes,12,10300.0,mixte,actif
CTR_000202,INS_000308,Tous risques + assistance,2022-02-18,2010.0,Citroën,6,26800.0,personnel,actif
CTR_000203,INS_000314,Tous risques,2025-08-29,438.0,Renault,16,7300.0,personnel,actif
CTR_000204,INS_000315,Au tiers,2024-08-21,235.0,Jeep,6,9400.0,personnel,résilié
CTR_000205,INS_000316,Tiers + vol/incendie,2026-05-02,438.73,Volvo,1,10900.0,mixte,actif
CTR_000206,INS_000318,Tiers étendu,2023-05-12,200.0,Tesla,1,1200.0,professionnel,actif
CTR_000207,INS_000319,Tiers étendu,2023-12-13,801.0,Opel,9,17800.0,personnel,actif
CTR_000208,INS_000321,Tous risques + assistance,2022-03-08,1140.0,Seat,7,15200.0,personnel,actif
CTR_000209,INS_000322,Tiers étendu,2022-06-06,850.5,Citroën,5,18900.0,personnel,actif
CTR_000210,INS_000324,Tous risques,2020-11-20,1287.0,Hyundai,3,16500.0,professionnel,actif
CTR_000211,INS_000324,Tiers + vol/incendie,2024-03-29,413.0,Skoda,6,11800.0,personnel,actif
CTR_000212,INS_000325,Au tiers,2025-07-29,300.0,Ford,7,12000.0,personnel,actif
CTR_000213,INS_000326,Tous risques,2024-07-31,1362.0,Jeep,0,22700.0,personnel,actif
CTR_000214,INS_000328,Tous risques,2022-11-27,200.0,Seat,6,3300.0,personnel,actif
CTR_000215,INS_000329,Tiers étendu,2021-07-29,751.5,BMW,11,16700.0,personnel,actif
CTR_000216,INS_000330,Tous risques,2024-02-24,1008.0,Jeep,1,16800.0,personnel,actif
CTR_000217,INS_000332,Au tiers,2025-12-25,200.0,Seat,2,800.0,personnel,actif
CTR_000218,INS_000333,Tous risques + assistance,2022-05-04,480.0,Kia,8,6400.0,personnel,actif
CTR_000219,INS_000335,Au tiers,2021-09-02,200.0,Nissan,4,5700.0,personnel,actif
CTR_000220,INS_000337,Tiers + vol/incendie,2024-05-08,504.0,Tesla,0,14400.0,personnel,actif
CTR_000221,INS_000337,Au tiers,2022-11-11,200.0,Mercedes,12,3100.0,personnel,actif
CTR_000222,INS_000338,Tous risques,2022-05-14,200.0,Opel,6,900.0,mixte,actif
CTR_000223,INS_000339,Tiers étendu,2024-11-21,585.0,Jeep,8,13000.0,personnel,actif
CTR_000224,INS_000342,Tiers étendu,2021-11-15,200.0,Volkswagen,18,3100.0,personnel,actif
CTR_000225,INS_000342,Tiers étendu,2023-11-11,388.12,Peugeot,8,7500.0,mixte,résilié
CTR_000226,INS_000343,Tous risques,2022-11-15,200.0,Toyota,5,1800.0,mixte,actif
CTR_000227,INS_000344,Tiers étendu,2021-01-01,472.5,Seat,7,10500.0,personnel,actif
CTR_000228,INS_000345,Tiers étendu,2024-10-12,201.82,BMW,3,3900.0,mixte,actif
CTR_000229,INS_000346,Tiers étendu,2021-04-12,356.85,Skoda,4,6100.0,professionnel,actif
CTR_000230,INS_000347,Tiers + vol/incendie,2023-10-16,441.0,Kia,9,12600.0,personnel,actif
CTR_000231,INS_000349,Tous risques + assistance,2023-12-09,1057.5,Jeep,4,14100.0,personnel,actif
CTR_000232,INS_000351,Tiers étendu,2021-10-24,1017.9,Mercedes,7,17400.0,professionnel,actif
CTR_000233,INS_000352,Au tiers,2024-01-18,200.0,Hyundai,17,5100.0,personnel,actif
CTR_000234,INS_000354,Tous risques + assistance,2025-09-24,560.62,Dacia,8,6500.0,mixte,actif
CTR_000235,INS_000357,Tous risques,2023-09-04,462.0,Citroën,7,7700.0,personnel,actif
CTR_000236,INS_000359,Tous risques + assistance,2024-05-04,667.5,Dacia,4,8900.0,personnel,actif
CTR_000237,INS_000363,Tous risques,2022-11-20,1248.0,Seat,4,20800.0,personnel,suspendu
CTR_000238,INS_000364,Au tiers,2022-07-10,390.0,Citroën,6,15600.0,personnel,suspendu
CTR_000239,INS_000365,Au tiers,2021-09-29,200.0,Volkswagen,5,3300.0,mixte,actif
CTR_000240,INS_000367,Tiers + vol/incendie,2026-01-27,269.5,Audi,8,7700.0,personnel,actif
CTR_000241,INS_000368,Tiers + vol/incendie,2020-11-23,200.0,Seat,3,5500.0,personnel,résilié
CTR_000242,INS_000369,Tous risques,2022-10-04,678.0,BMW,7,11300.0,personnel,actif
CTR_000243,INS_000372,Tous risques,2025-01-31,200.0,Kia,17,800.0,professionnel,actif
CTR_000244,INS_000373,Tiers étendu,2024-04-30,200.0,Mercedes,2,800.0,professionnel,actif
CTR_000245,INS_000374,Au tiers,2024-07-24,200.0,Hyundai,19,800.0,personnel,résilié
CTR_000246,INS_000375,Tous risques + assistance,2020-12-04,1914.75,Audi,3,22200.0,mixte,actif
CTR_000247,INS_000376,Tous risques,2021-11-12,816.0,BMW,9,13600.0,personnel,actif
CTR_000248,INS_000377,Tiers + vol/incendie,2023-05-19,200.0,Tesla,18,4000.0,personnel,actif
CTR_000249,INS_000378,Tous risques,2021-08-24,1230.0,Renault,2,20500.0,personnel,actif
CTR_000250,INS_000380,Tiers + vol/incendie,2021-03-07,200.0,Renault,8,4500.0,personnel,actif
CTR_000251,INS_000382,Tous risques,2020-10-01,450.0,Fiat,5,7500.0,personnel,actif
CTR_000252,INS_000383,Tiers + vol/incendie,2024-07-17,843.5,BMW,5,24100.0,personnel,actif
CTR_000253,INS_000384,Tous risques,2025-01-17,343.2,Hyundai,14,4400.0,professionnel,actif
CTR_000254,INS_000385,Tiers étendu,2025-01-13,238.5,Audi,11,5300.0,personnel,actif
CTR_000255,INS_000387,Tous risques,2026-01-20,1410.0,Seat,4,23500.0,personnel,actif
CTR_000256,INS_000388,Tiers + vol/incendie,2022-01-15,285.78,Audi,11,7100.0,mixte,actif
CTR_000257,INS_000389,Tiers étendu,2024-01-29,200.0,Mercedes,7,3500.0,personnel,actif
CTR_000258,INS_000390,Au tiers,2025-04-13,344.5,Fiat,4,10600.0,professionnel,actif
CTR_000259,INS_000390,Tiers étendu,2026-02-24,648.0,Nissan,4,14400.0,personnel,actif
CTR_000260,INS_000391,Tiers étendu,2025-10-26,491.4,Skoda,6,8400.0,professionnel,actif
CTR_000261,INS_000393,Tiers + vol/incendie,2020-07-05,451.5,Volvo,4,12900.0,personnel,actif
CTR_000262,INS_000395,Tous risques,2025-10-09,1404.0,Skoda,1,23400.0,personnel,actif
CTR_000263,INS_000396,Tiers + vol/incendie,2022-09-19,556.5,Dacia,3,15900.0,personnel,actif
CTR_000264,INS_000397,Tiers étendu,2022-01-17,270.0,Volkswagen,16,6000.0,personnel,actif
CTR_000265,INS_000399,Au tiers,2021-08-23,205.0,Hyundai,8,8200.0,personnel,actif
CTR_000266,INS_000401,Tous risques,2021-03-09,1164.0,Renault,2,19400.0,personnel,actif
CTR_000267,INS_000403,Tous risques,2021-02-17,444.0,Fiat,16,7400.0,personnel,actif
CTR_000268,INS_000406,Tiers étendu,2022-02-09,337.5,Opel,18,7500.0,personnel,actif
CTR_000269,INS_000406,Tous risques,2025-02-05,462.0,Opel,15,7700.0,personnel,actif
CTR_000270,INS_000408,Tiers étendu,2023-12-13,756.0,Volkswagen,4,16800.0,personnel,actif
CTR_000271,INS_000409,Au tiers,2022-03-08,300.0,Hyundai,5,12000.0,personnel,actif
