insured_id,compagnie,incident_type,claim_date,claim_amount,fraud_flag
INS_001033,Allianz,Dégradation volontaire,2023-07-19,200.0,0
INS_001033,Generali,Collision multi-véhicules,2024-04-04,1400.0,0
INS_001033,Société Générale Assurances,Collision multi-véhicules,2025-03-15,6300.0,0
INS_001033,Macif,Collision avec piéton,2024-08-27,3700.0,0
INS_001033,Société Générale Assurances,Dégradation volontaire,2024-06-17,8700.0,1
INS_000429,AXA,Vol total du véhicule,2024-01-30,3800.0,1
INS_000152,Macif,Incendie accidentel,2024-08-23,7600.0,0
INS_003153,Aviva,Collision avec piéton,2024-04-05,5700.0,0
INS_003153,Allianz,Vol à la roulette,2023-11-25,3800.0,1
INS_002839,Allianz,Collision avec animal,2024-07-17,3000.0,0
INS_002839,Groupama,Bris de glace,2025-09-26,7000.0,0
INS_002839,Aviva,Vol total du véhicule,2025-06-24,10900.0,0
INS_005907,Maif,Collision avec piéton,2023-10-24,3700.0,1
INS_005562,Macif,Accident corporel seul conducteur,2024-06-30,1300.0,1
INS_005112,AXA,Collision multi-véhicules,2025-03-06,6800.0,0
INS_005112,Groupama,Collision simple,2026-03-02,2200.0,0
INS_005112,Société Générale Assurances,Bris de glace,2024-01-23,2300.0,0
INS_003919,Maif,Incendie criminel,2025-09-28,3200.0,0
INS_005298,Macif,Stationnement endommagé,2024-02-03,7100.0,0
INS_003701,Maif,Collision avec animal,2025-03-08,6700.0,1
INS_002506,Macif,Collision multi-véhicules,2023-08-26,7600.0,0
INS_005257,BNP Paribas Cardif,Inondation / submersion,2026-04-09,2300.0,0
INS_005257,Generali,Stationnement endommagé,2026-03-02,11300.0,1
INS_000945,Société Générale Assurances,Incendie criminel,2025-04-14,12900.0,0
INS_000945,Aviva,Collision multi-véhicules,2023-07-29,10300.0,0
INS_002433,BNP Paribas Cardif,Dommages grêle,2023-09-12,11500.0,1
INS_002433,Generali,Collision simple,2024-05-23,2300.0,0
INS_002433,AXA,Dégradation volontaire,2024-10-18,5400.0,0
INS_002230,Société Générale Assurances,Incendie accidentel,2023-09-22,200.0,0
INS_002230,Aviva,Dégradation volontaire,2025-07-12,9700.0,1
INS_001111,Maif,Tentative de vol avec dégradation,2025-08-27,1700.0,1
INS_001111,Société Générale Assurances,Incendie criminel,2023-12-14,2600.0,1
INS_001111,Société Générale Assurances,Dommages grêle,2023-12-11,1700.0,1
INS_001111,Allianz,Vol total du véhicule,2024-04-30,5900.0,1
INS_005231,Generali,Dommages grêle,2023-08-06,8000.0,0
INS_000461,Macif,Vol total du véhicule,2024-11-14,200.0,0
INS_000680,Société Générale Assurances,Accident corporel seul conducteur,2025-12-30,4900.0,0
INS_000680,Société Générale Assurances,Collision multi-véhicules,2024-08-29,2700.0,0
INS_000680,Aviva,Incendie accidentel,2026-04-22,4700.0,0
INS_000680,Macif,Collision simple,2023-06-08,200.0,1
INS_000680,BNP Paribas Cardif,Bris de glace,2023-06-07,3500.0,1
INS_004159,Allianz,Vol à la roulette,2023-08-06,9200.0,1
INS_005393,Groupama,Dommages grêle,2024-03-12,9100.0,1
INS_000021,Groupama,Vol à la roulette,2026-02-25,200.0,0
INS_000021,AXA,Incendie criminel,2025-10-15,1700.0,0
INS_001728,Maif,Inondation / submersion,2024-01-19,4000.0,0
INS_002337,Aviva,Collision simple,2024-05-21,3300.0,0
INS_002337,Société Générale Assurances,Collision avec animal,2024-12-24,6400.0,1
INS_002337,Allianz,Dommages grêle,2025-08-10,7200.0,0
INS_002337,Société Générale Assurances,Inondation / submersion,2024-09-28,7500.0,0
INS_001180,Macif,Tentative de vol avec dégradation,2024-04-25,1000.0,0
INS_000011,Maif,Inondation / submersion,2023-11-15,9900.0,1
INS_005877,Société Générale Assurances,Incendie criminel,2025-01-05,200.0,0
INS_005877,Groupama,Dégradation volontaire,2024-02-15,4800.0,0
INS_003102,Macif,Collision avec piéton,2025-10-12,200.0,1
INS_003102,Aviva,Bris de glace,2025-09-06,4200.0,0
INS_004502,Société Générale Assurances,Accident corporel seul conducteur,2025-09-07,7100.0,0
INS_004502,Generali,Dommages grêle,2025-03-31,4800.0,1
INS_004502,Allianz,Dommages grêle,2025-06-14,5000.0,0
INS_004502,Maif,Incendie criminel,2026-02-18,1900.0,1
INS_003828,BNP Paribas Cardif,Vol total du véhicule,2024-11-03,3200.0,0
INS_003828,Macif,Accident corporel seul conducteur,2024-10-29,4000.0,0
INS_001418,Allianz,Tentative de vol avec dégradation,2026-03-14,4700.0,1
INS_001418,Groupama,Vol à la roulette,2026-05-07,11900.0,1
INS_000555,Aviva,Collision multi-véhicules,2024-02-23,2800.0,0
INS_000555,Société Générale Assurances,Vol total du véhicule,2025-03-08,5400.0,0
INS_004093,Macif,Collision avec piéton,2025-10-07,4000.0,0
INS_004093,Société Générale Assurances,Accident corporel seul conducteur,2023-11-24,200.0,1
INS_000225,Allianz,Vol total du véhicule,2025-09-14,12200.0,0
INS_002299,Groupama,Collision multi-véhicules,2023-11-21,1400.0,0
INS_003515,BNP Paribas Cardif,Collision avec piéton,2024-04-20,2000.0,0
INS_003515,BNP Paribas Cardif,Collision avec piéton,2025-08-01,13300.0,0
INS_003423,Maif,Incendie criminel,2024-02-08,700.0,1
INS_004301,AXA,Bris de glace,2024-05-15,11600.0,0
INS_004301,Groupama,Vol à la roulette,2023-07-11,9400.0,0
INS_004301,Groupama,Incendie accidentel,2024-01-03,200.0,1
INS_003872,Groupama,Collision multi-véhicules,2025-03-19,4800.0,0
INS_003872,Maif,Accident corporel seul conducteur,2023-06-12,2800.0,0
INS_003872,Société Générale Assurances,Collision multi-véhicules,2023-07-06,7100.0,0
INS_005260,BNP Paribas Cardif,Dommages grêle,2026-04-24,200.0,0
INS_005260,Allianz,Dommages grêle,2023-07-25,8600.0,0
INS_000226,Groupama,Collision avec animal,2024-04-19,200.0,1
INS_005423,AXA,Incendie accidentel,2024-10-03,1600.0,1
INS_005878,Generali,Dommages grêle,2023-08-08,8900.0,1
INS_005878,Société Générale Assurances,Tentative de vol avec dégradation,2025-12-02,1500.0,0
INS_005878,Groupama,Accident corporel seul conducteur,2024-05-01,4600.0,1
INS_005494,BNP Paribas Cardif,Dégradation volontaire,2023-11-01,5600.0,0
INS_004572,Macif,Incendie accidentel,2024-11-27,2500.0,0
INS_004572,Generali,Collision avec piéton,2024-02-23,3700.0,1
INS_004572,AXA,Incendie accidentel,2025-08-11,8000.0,1
INS_000991,BNP Paribas Cardif,Collision avec piéton,2024-05-16,8100.0,0
INS_000991,Allianz,Vol total du véhicule,2024-03-05,11300.0,0
INS_000991,Aviva,Dégradation volontaire,2026-03-19,5400.0,0
INS_000991,Maif,Dégradation volontaire,2025-07-16,10800.0,1
INS_000991,Aviva,Collision avec animal,2024-04-01,5600.0,1
INS_004006,Allianz,Dommages grêle,2025-04-27,7700.0,0
INS_005003,Generali,Collision avec piéton,2023-10-09,8400.0,1
INS_005003,Generali,Inondation / submersion,2025-04-03,200.0,0
INS_003177,Aviva,Vol total du véhicule,2025-03-12,8300.0,0
INS_001161,BNP Paribas Cardif,Bris de glace,2025-07-27,6600.0,0
INS_001161,Aviva,Vol à la roulette,2025-08-24,200.0,1
INS_001161,AXA,Vol à la roulette,2025-08-08,5100.0,0
INS_001019,Société Générale Assurances,Incendie criminel,2024-09-22,4300.0,0
INS_000661,Allianz,Inondation / submersion,2024-06-27,3800.0,0
INS_000661,Société Générale Assurances,Bris de glace,2025-12-26,5700.0,1
INS_003554,Société Générale Assurances,Inondation / submersion,2026-03-27,4600.0,0
INS_003554,Generali,Stationnement endommagé,2024-01-27,3800.0,0
INS_003554,BNP Paribas Cardif,Incendie criminel,2023-12-27,7300.0,0
INS_003961,BNP Paribas Cardif,Bris de glace,2026-04-07,6000.0,1
INS_000891,AXA,Tentative de vol avec dégradation,2025-06-13,4100.0,0
INS_001203,Société Générale Assurances,Vol total du véhicule,2024-08-06,6500.0,0
INS_001203,Generali,Collision multi-véhicules,2023-06-16,900.0,0
INS_001927,Macif,Inondation / submersion,2024-05-10,5000.0,1
INS_001927,AXA,Accident corporel seul conducteur,2024-01-13,200.0,0
INS_000334,BNP Paribas Cardif,Collision simple,2025-09-24,200.0,0
INS_002173,BNP Paribas Cardif,Inondation / submersion,2025-03-02,9300.0,0
INS_003192,Generali,Vol à la roulette,2023-12-12,8200.0,1
INS_003192,Generali,Accident corporel seul conducteur,2026-05-16,200.0,0
INS_005706,Groupama,Accident corporel seul conducteur,2024-06-09,9100.0,0
INS_005706,BNP Paribas Cardif,Stationnement endommagé,2024-12-08,1100.0,0
INS_002810,AXA,Collision multi-véhicules,2025-01-26,4100.0,1
INS_002810,AXA,Collision avec piéton,2024-01-24,6100.0,0
INS_004157,Maif,Dommages grêle,2024-10-07,3900.0,0
INS_004157,Generali,Inondation / submersion,2024-02-21,6600.0,0
INS_001852,Generali,Tentative de vol avec dégradation,2025-10-16,10800.0,0
INS_001852,Maif,Bris de glace,2024-12-05,11000.0,0
INS_001852,AXA,Accident corporel seul conducteur,2026-01-27,7000.0,1
INS_003255,BNP Paribas Cardif,Tentative de vol avec dégradation,2024-02-19,300.0,1
INS_003255,Maif,Dégradation volontaire,2026-03-14,9300.0,0
INS_003255,BNP Paribas Cardif,Collision simple,2024-02-04,200.0,0
INS_002989,AXA,Incendie criminel,2024-06-02,5300.0,0
INS_002989,AXA,Collision avec animal,2025-04-14,800.0,0
INS_004947,Allianz,Collision multi-véhicules,2025-11-29,2600.0,0
INS_004991,Allianz,Inondation / submersion,2024-01-09,4400.0,1
INS_004419,BNP Paribas Cardif,Dommages grêle,2023-12-10,7700.0,0
INS_000019,Maif,Incendie accidentel,2024-02-02,5300.0,1
INS_000019,BNP Paribas Cardif,Vol à la roulette,2024-04-30,4400.0,0
INS_005525,Generali,Vol total du véhicule,2025-12-07,200.0,1
INS_005180,Allianz,Collision multi-véhicules,2023-11-09,5000.0,1
INS_005180,Société Générale Assurances,Accident corporel seul conducteur,2025-09-02,8100.0,0
INS_000787,Société Générale Assurances,Dommages grêle,2026-03-14,10000.0,0
INS_003329,Generali,Inondation / submersion,2023-06-18,10500.0,1
INS_003329,Maif,Stationnement endommagé,2025-02-08,7900.0,0
INS_005490,Société Générale Assurances,Stationnement endommagé,2024-07-09,14900.0,0
INS_005490,AXA,Collision avec animal,2025-07-17,14400.0,0
INS_003401,Aviva,Stationnement endommagé,2024-10-09,300.0,0
INS_002933,AXA,Dommages grêle,2023-07-25,9900.0,0
INS_004472,Aviva,Incendie accidentel,2024-02-02,200.0,0
INS_005602,Maif,Dommages grêle,2023-07-14,4900.0,0
INS_000834,Macif,Dommages grêle,2026-02-22,200.0,1
INS_000834,BNP Paribas Cardif,Inondation / submersion,2024-08-06,3800.0,0
INS_000834,Société Générale Assurances,Bris de glace,2023-10-10,1800.0,1
INS_000834,AXA,Collision avec animal,2025-11-11,7500.0,1
INS_000834,BNP Paribas Cardif,Accident corporel seul conducteur,2024-05-18,200.0,0
INS_001841,Macif,Inondation / submersion,2025-11-08,2300.0,0
INS_005999,Groupama,Stationnement endommagé,2024-11-10,7300.0,0
INS_005999,Allianz,Collision multi-véhicules,2023-09-01,700.0,0
INS_003340,AXA,Stationnement endommagé,2026-03-29,4800.0,1
INS_003340,Société Générale Assurances,Collision avec animal,2024-05-15,3500.0,0
INS_003340,Maif,Dégradation volontaire,2025-12-22,3900.0,0
INS_003340,Allianz,Collision multi-véhicules,2023-07-24,9300.0,0
INS_003340,Macif,Bris de glace,2025-02-28,6200.0,0
INS_005755,Generali,Accident corporel seul conducteur,2026-04-19,9900.0,0
INS_001341,Aviva,Dégradation volontaire,2025-04-19,200.0,1
INS_001369,Allianz,Dommages grêle,2025-06-29,3500.0,0
INS_001369,Allianz,Collision simple,2024-03-20,1700.0,0
INS_001369,Generali,Collision avec animal,2023-11-08,2300.0,0
INS_001369,Société Générale Assurances,Inondation / submersion,2025-05-04,200.0,0
INS_001369,Allianz,Incendie criminel,2025-06-17,4100.0,0
INS_001255,AXA,Accident corporel seul conducteur,2024-04-17,6400.0,1
INS_000316,Société Générale Assurances,Stationnement endommagé,2024-06-02,5000.0,0
INS_000316,Aviva,Bris de glace,2024-04-24,200.0,0
INS_004450,Maif,Dégradation volontaire,2023-08-20,6900.0,1
INS_003082,Aviva,Tentative de vol avec dégradation,2025-04-05,3500.0,0
INS_000516,Maif,Collision multi-véhicules,2024-07-05,6700.0,1
INS_000516,Macif,Stationnement endommagé,2024-07-06,2300.0,0
INS_005611,BNP Paribas Cardif,Vol à la roulette,2023-08-30,7600.0,0
INS_005611,Allianz,Dommages grêle,2024-05-11,8200.0,0
INS_005901,AXA,Vol à la roulette,2024-12-05,700.0,1
INS_005901,Allianz,Collision simple,2025-11-01,6500.0,0
INS_001142,Generali,Collision avec animal,2026-03-22,7600.0,0
INS_001142,Generali,Accident corporel seul conducteur,2025-09-16,200.0,0
INS_001142,Maif,Vol à la roulette,2023-08-16,2600.0,1
INS_000824,Allianz,Inondation / submersion,2023-09-02,9400.0,1
INS_000824,Macif,Collision simple,2024-02-23,2600.0,0
INS_000824,Aviva,Accident corporel seul conducteur,2026-05-01,1000.0,0
INS_000824,Groupama,Vol à la roulette,2026-04-27,200.0,0
INS_000824,Société Générale Assurances,Stationnement endommagé,2024-06-07,1400.0,0
INS_001947,Société Générale Assurances,Vol total du véhicule,2023-06-18,12600.0,0
INS_000172,AXA,Incendie accidentel,2025-07-18,10300.0,0
INS_005809,Generali,Collision avec piéton,2024-01-25,2600.0,0
INS_005809,BNP Paribas Cardif,Tentative de vol avec dégradation,2025-06-18,10300.0,1
INS_005809,Groupama,Incendie accidentel,2025-03-25,5700.0,0
INS_005720,Aviva,Dégradation volontaire,2024-02-28,9200.0,0
INS_005720,Groupama,Accident corporel seul conducteur,2025-09-07,2800.0,0
INS_002978,BNP Paribas Cardif,Tentative de vol avec dégradation,2023-08-08,7300.0,1
INS_000201,BNP Paribas Cardif,Vol à la roulette,2025-07-15,11800.0,0
INS_000201,Maif,Stationnement endommagé,2024-10-22,2900.0,1
INS_004677,Groupama,Collision multi-véhicules,2024-05-25,200.0,0
INS_003121,Aviva,Vol total du véhicule,2024-11-20,9400.0,0
INS_003121,Aviva,Stationnement endommagé,2025-09-01,800.0,0
INS_003121,Macif,Vol total du véhicule,2024-06-21,500.0,0
INS_003121,AXA,Inondation / submersion,2026-03-31,5900.0,0
INS_001936,Macif,Bris de glace,2026-01-29,2700.0,0
INS_001936,AXA,Inondation / submersion,2024-07-28,1400.0,0
INS_004934,Société Générale Assurances,Dommages grêle,2025-10-16,200.0,0
INS_004934,Société Générale Assurances,Dommages grêle,2023-12-02,200.0,0
INS_004934,Allianz,Dommages grêle,2024-12-10,200.0,1
INS_004934,Maif,Vol à la roulette,2025-05-06,4100.0,1
INS_004934,Allianz,Dégradation volontaire,2026-05-04,200.0,0
INS_004700,Macif,Collision avec animal,2024-08-16,1400.0,1
INS_004700,Generali,Collision avec animal,2023-06-14,4300.0,1
INS_004700,Macif,Incendie criminel,2025-10-01,5400.0,0
INS_004700,Macif,Collision avec piéton,2023-10-04,5800.0,1
INS_004700,Maif,Collision multi-véhicules,2024-08-17,200.0,0
INS_002132,Macif,Accident corporel seul conducteur,2025-12-07,7700.0,1
INS_003973,AXA,Vol à la roulette,2023-08-15,6000.0,1
INS_004511,BNP Paribas Cardif,Bris de glace,2025-05-28,10200.0,0
INS_004511,Allianz,Vol total du véhicule,2025-01-02,5000.0,0
INS_004511,Aviva,Collision simple,2024-06-28,3900.0,0
INS_001591,Société Générale Assurances,Collision simple,2026-03-30,3300.0,0
INS_001591,AXA,Tentative de vol avec dégradation,2024-09-11,400.0,1
INS_002414,Allianz,Inondation / submersion,2024-05-06,300.0,0
INS_002414,AXA,Dégradation volontaire,2023-06-05,5100.0,0
INS_004340,AXA,Dégradation volontaire,2025-09-25,4600.0,0
INS_004482,BNP Paribas Cardif,Accident corporel seul conducteur,2024-10-09,5700.0,0
INS_004482,Groupama,Incendie criminel,2026-03-20,7100.0,0
INS_004482,Aviva,Collision avec piéton,2024-05-02,1400.0,0
INS_004482,Macif,Dommages grêle,2024-04-06,1800.0,0
INS_000589,AXA,Collision multi-véhicules,2023-07-24,12300.0,0
INS_000589,AXA,Collision simple,2025-03-21,200.0,0
INS_000589,Macif,Dommages grêle,2025-05-17,3700.0,1
INS_005694,Aviva,Incendie accidentel,2024-11-25,12800.0,0
INS_002180,Allianz,Vol total du véhicule,2024-06-21,8500.0,0
INS_002180,Generali,Vol total du véhicule,2025-05-09,1200.0,0
INS_003249,Aviva,Stationnement endommagé,2025-03-08,7600.0,1
INS_000052,BNP Paribas Cardif,Vol total du véhicule,2024-10-11,15500.0,0
INS_000052,Macif,Stationnement endommagé,2023-08-18,200.0,0
INS_005507,Macif,Dégradation volontaire,2023-12-20,7500.0,0
INS_004576,Aviva,Vol à la roulette,2024-01-17,6300.0,1
INS_004576,Allianz,Vol à la roulette,2026-04-16,6100.0,0
INS_001192,Aviva,Collision avec piéton,2023-06-21,5100.0,1
INS_001192,Generali,Inondation / submersion,2026-03-13,9500.0,0
INS_001192,Maif,Collision avec animal,2023-07-11,2500.0,0
INS_001192,Maif,Collision simple,2025-09-10,1100.0,1
INS_001192,Société Générale Assurances,Dégradation volontaire,2023-07-06,10900.0,0
INS_002131,Macif,Collision simple,2023-07-13,4200.0,1
INS_005704,AXA,Incendie criminel,2026-02-23,9200.0,0
INS_005704,Allianz,Dommages grêle,2025-09-10,2300.0,1
INS_005704,Aviva,Collision multi-véhicules,2024-08-25,8900.0,0
INS_003637,Groupama,Dommages grêle,2023-09-08,3600.0,1
INS_002474,Aviva,Tentative de vol avec dégradation,2023-07-19,1000.0,1
INS_000127,Allianz,Stationnement endommagé,2024-01-18,9100.0,0
INS_003838,Maif,Accident corporel seul conducteur,2023-11-05,7000.0,0
INS_004641,Maif,Incendie criminel,2025-11-21,3500.0,1
INS_004641,Groupama,Tentative de vol avec dégradation,2024-12-20,3000.0,0
INS_004641,Aviva,Collision avec piéton,2025-01-25,12800.0,0
INS_005657,Allianz,Vol total du véhicule,2025-01-04,10500.0,0
INS_005657,Generali,Accident corporel seul conducteur,2024-01-08,4700.0,1
INS_002479,Maif,Tentative de vol avec dégradation,2024-03-29,3600.0,0
INS_002479,Société Générale Assurances,Dégradation volontaire,2026-04-27,5300.0,0
INS_001701,Groupama,Accident corporel seul conducteur,2024-07-27,6200.0,0
INS_001701,Société Générale Assurances,Dommages grêle,2023-09-28,200.0,0
INS_001701,BNP Paribas Cardif,Vol à la roulette,2026-03-19,7400.0,0
INS_002546,Generali,Incendie criminel,2025-01-23,11300.0,0
INS_002546,Macif,Inondation / submersion,2023-09-27,3000.0,1
INS_002546,Société Générale Assurances,Dommages grêle,2026-04-19,7400.0,1
INS_002546,Groupama,Tentative de vol avec dégradation,2024-10-25,2000.0,0
INS_002546,Macif,Collision avec animal,2025-01-02,9700.0,1
INS_002554,Allianz,Vol à la roulette,2024-06-15,5200.0,0
INS_002336,Société Générale Assurances,Accident corporel seul conducteur,2024-12-24,7300.0,0
INS_002336,Groupama,Collision avec animal,2025-06-14,3000.0,0
INS_002336,Generali,Incendie accidentel,2026-03-13,3000.0,0
INS_002336,Groupama,Vol total du véhicule,2026-03-11,12800.0,0
INS_000925,Allianz,Bris de glace,2023-07-15,7500.0,0
INS_000925,Maif,Vol total du véhicule,2024-06-13,6600.0,0
INS_000925,Generali,Stationnement endommagé,2023-07-03,6200.0,1
INS_000925,Maif,Collision avec piéton,2025-03-03,200.0,0
INS_000925,AXA,Incendie accidentel,2024-05-26,200.0,0
INS_005898,Allianz,Collision multi-véhicules,2024-08-06,8200.0,0
INS_003827,BNP Paribas Cardif,Vol total du véhicule,2025-01-25,10800.0,0
INS_003827,Aviva,Dégradation volontaire,2025-09-03,2800.0,0
INS_003023,Société Générale Assurances,Vol total du véhicule,2024-07-15,4900.0,1
INS_003023,Generali,Collision avec animal,2023-12-05,2900.0,0
INS_003086,Groupama,Collision multi-véhicules,2023-07-02,5600.0,0
INS_003086,AXA,Dommages grêle,2024-11-01,3500.0,0
INS_003517,AXA,Stationnement endommagé,2023-11-13,200.0,0
INS_003517,Maif,Collision simple,2024-11-11,5600.0,0
INS_003159,Maif,Stationnement endommagé,2025-11-14,6900.0,0
