contract_id,insured_id,role
CTR_000089,INS_000131,souscripteur principal
CTR_000090,INS_000132,souscripteur principal
CTR_000090,INS_001213,conducteur secondaire
CTR_000091,INS_000135,souscripteur principal
CTR_000092,INS_000138,souscripteur principal
CTR_000093,INS_000140,souscripteur principal
CTR_000094,INS_000141,souscripteur principal
CTR_000094,INS_004898,conjoint
CTR_000095,INS_000142,souscripteur principal
CTR_000096,INS_000143,souscripteur principal
CTR_000097,INS_000144,souscripteur principal
CTR_000098,INS_000148,souscripteur principal
CTR_000098,INS_004931,enfant
CTR_000099,INS_000148,souscripteur principal
CTR_000100,INS_000149,souscripteur principal
CTR_000101,INS_000151,souscripteur principal
CTR_000102,INS_000154,souscripteur principal
CTR_000102,INS_004874,enfant
CTR_000103,INS_000156,souscripteur principal
CTR_000103,INS_004230,conjoint
CTR_000104,INS_000159,souscripteur principal
CTR_000104,INS_003441,conducteur secondaire
CTR_000105,INS_000160,souscripteur principal
CTR_000106,INS_000162,souscripteur principal
CTR_000107,INS_000164,souscripteur principal
CTR_000108,INS_000165,souscripteur principal
CTR_000109,INS_000166,souscripteur principal
CTR_000109,INS_003397,conjoint
CTR_000110,INS_000166,souscripteur principal
CTR_000111,INS_000166,souscripteur principal
CTR_000112,INS_000167,souscripteur principal
CTR_000112,INS_005504,conducteur secondaire
CTR_000112,INS_000545,conducteur secondaire
CTR_000113,INS_000168,souscripteur principal
CTR_000113,INS_003750,conducteur secondaire
CTR_000114,INS_000169,souscripteur principal
CTR_000115,INS_000171,souscripteur principal
CTR_000116,INS_000173,souscripteur principal
CTR_000116,INS_004674,enfant
CTR_000117,INS_000174,souscripteur principal
CTR_000118,INS_000177,souscripteur principal
CTR_000119,INS_000179,souscripteur principal
CTR_000120,INS_000180,souscripteur principal
CTR_000121,INS_000181,souscripteur principal
CTR_000122,INS_000182,souscripteur principal
CTR_000122,INS_005795,enfant
CTR_000123,INS_000183,souscripteur principal
CTR_000124,INS_000187,souscripteur principal
CTR_000125,INS_000189,souscripteur principal
CTR_000126,INS_000190,souscripteur principal
CTR_000126,INS_005502,enfant
CTR_000127,INS_000192,souscripteur principal
CTR_000128,INS_000194,souscripteur principal
CTR_000129,INS_000196,souscripteur principal
CTR_000130,INS_000197,souscripteur principal
CTR_000130,INS_003643,conducteur secondaire
CTR_000131,INS_000199,souscripteur principal
CTR_000132,INS_000201,souscripteur principal
CTR_000133,INS_000203,souscripteur principal
CTR_000134,INS_000203,souscripteur principal
CTR_000134,INS_002768,conducteur secondaire
CTR_000134,INS_000336,conducteur secondaire
CTR_000135,INS_000203,souscripteur principal
CTR_000136,INS_000206,souscripteur principal
CTR_000137,INS_000208,souscripteur principal
CTR_000137,INS_004377,conjoint
CTR_000138,INS_000209,souscripteur principal
CTR_000139,INS_000211,souscripteur principal
CTR_000139,INS_005909,enfant
CTR_000139,INS_004366,enfant
CTR_000140,INS_000212,souscripteur principal
CTR_000140,INS_003158,conducteur secondaire
CTR_000141,INS_000213,souscripteur principal
CTR_000142,INS_000216,souscripteur principal
CTR_000143,INS_000217,souscripteur principal
CTR_000144,INS_000218,souscripteur principal
CTR_000145,INS_000219,souscripteur principal
CTR_000146,INS_000220,souscripteur principal
CTR_000147,INS_000221,souscripteur principal
CTR_000147,INS_001646,enfant
CTR_000148,INS_000222,souscripteur principal
CTR_000149,INS_000223,souscripteur principal
CTR_000150,INS_000225,souscripteur principal
CTR_000151,INS_000226,souscripteur principal
CTR_000151,INS_002448,conjoint
CTR_000152,INS_000227,souscripteur principal
CTR_000153,INS_000228,souscripteur principal
CTR_000154,INS_000229,souscripteur principal
CTR_000154,INS_005377,enfant
CTR_000155,INS_000231,souscripteur principal
CTR_000155,INS_001736,enfant
CTR_000156,INS_000232,souscripteur principal
CTR_000156,INS_001430,enfant
CTR_000156,INS_005438,conjoint
CTR_000157,INS_000233,souscripteur principal
CTR_000157,INS_002545,conjoint
CTR_000158,INS_000234,souscripteur principal
CTR_000159,INS_000235,souscripteur principal
CTR_000160,INS_000236,souscripteur principal
CTR_000161,INS_000238,souscripteur principal
CTR_000162,INS_000239,souscripteur principal
CTR_000162,INS_002931,conducteur secondaire
CTR_000163,INS_000241,souscripteur principal
CTR_000163,INS_001516,conjoint
CTR_000164,INS_000243,souscripteur principal
CTR_000165,INS_000244,souscripteur principal
CTR_000166,INS_000245,souscripteur principal
CTR_000166,INS_001906,conjoint
CTR_000167,INS_000249,souscripteur principal
CTR_000168,INS_000250,souscripteur principal
CTR_000169,INS_000251,souscripteur principal
CTR_000170,INS_000252,souscripteur principal
CTR_000171,INS_000253,souscripteur principal
CTR_000172,INS_000254,souscripteur principal
CTR_000173,INS_000256,souscripteur principal
CTR_000174,INS_000258,souscripteur principal
CTR_000174,INS_002040,conjoint
CTR_000175,INS_000259,souscripteur principal
CTR_000175,INS_000345,enfant
CTR_000176,INS_000260,souscripteur principal
CTR_000177,INS_000262,souscripteur principal
CTR_000177,INS_003171,enfant
CTR_000177,INS_003430,conjoint
CTR_000178,INS_000265,souscripteur principal
CTR_000179,INS_000266,souscripteur principal
CTR_000179,INS_005451,conjoint
CTR_000180,INS_000268,souscripteur principal
CTR_000181,INS_000269,souscripteur principal
CTR_000181,INS_004639,conjoint
CTR_000182,INS_000276,souscripteur principal
CTR_000183,INS_000278,souscripteur principal
CTR_000184,INS_000279,souscripteur principal
CTR_000184,INS_004679,enfant
CTR_000185,INS_000280,souscripteur principal
CTR_000186,INS_000282,souscripteur principal
CTR_000186,INS_005342,enfant
CTR_000186,INS_002285,conducteur secondaire
CTR_000187,INS_000285,souscripteur principal
CTR_000188,INS_000286,souscripteur principal
CTR_000189,INS_000287,souscripteur principal
CTR_000190,INS_000289,souscripteur principal
CTR_000191,INS_000290,souscripteur principal
CTR_000192,INS_000291,souscripteur principal
CTR_000192,INS_001765,enfant
CTR_000193,INS_000293,souscripteur principal
CTR_000193,INS_003310,enfant
CTR_000194,INS_000294,souscripteur principal
CTR_000194,INS_002610,conducteur secondaire
CTR_000194,INS_005679,conducteur secondaire
CTR_000195,INS_000296,souscripteur principal
CTR_000196,INS_000299,souscripteur principal
CTR_000197,INS_000301,souscripteur principal
CTR_000197,INS_005127,enfant
CTR_000197,INS_000276,conjoint
CTR_000198,INS_000302,souscripteur principal
CTR_000199,INS_000304,souscripteur principal
CTR_000200,INS_000305,souscripteur principal
CTR_000200,INS_004837,enfant
CTR_000201,INS_000306,souscripteur principal
CTR_000202,INS_000308,souscripteur principal
CTR_000203,INS_000314,souscripteur principal
CTR_000203,INS_002104,conducteur secondaire
CTR_000204,INS_000315,souscripteur principal
CTR_000205,INS_000316,souscripteur principal
CTR_000206,INS_000318,souscripteur principal
CTR_000206,INS_003132,enfant
CTR_000207,INS_000319,souscripteur principal
CTR_000208,INS_000321,souscripteur principal
CTR_000208,INS_003067,enfant
CTR_000209,INS_000322,souscripteur principal
CTR_000210,INS_000324,souscripteur principal
CTR_000211,INS_000324,souscripteur principal
CTR_000212,INS_000325,souscripteur principal
CTR_000213,INS_000326,souscripteur principal
CTR_000213,INS_001536,conjoint
CTR_000214,INS_000328,souscripteur principal
CTR_000215,INS_000329,souscripteur principal
CTR_000216,INS_000330,souscripteur principal
CTR_000217,INS_000332,souscripteur principal
CTR_000218,INS_000333,souscripteur principal
CTR_000218,INS_001738,enfant
CTR_000219,INS_000335,souscripteur principal
CTR_000219,INS_002625,conjoint
CTR_000220,INS_000337,souscripteur principal
CTR_000221,INS_000337,souscripteur principal
CTR_000222,INS_000338,souscripteur principal
CTR_000223,INS_000339,souscripteur principal
CTR_000224,INS_000342,souscripteur principal
CTR_000225,INS_000342,souscripteur principal
CTR_000225,INS_005449,conducteur secondaire
CTR_000226,INS_000343,souscripteur principal
CTR_000227,INS_000344,souscripteur principal
CTR_000228,INS_000345,souscripteur principal
CTR_000229,INS_000346,souscripteur principal
CTR_000229,INS_002288,enfant
CTR_000230,INS_000347,souscripteur principal
CTR_000230,INS_001584,conjoint
CTR_000230,INS_001864,enfant
CTR_000231,INS_000349,souscripteur principal
CTR_000232,INS_000351,souscripteur principal
CTR_000232,INS_002996,conducteur secondaire
CTR_000233,INS_000352,souscripteur principal
CTR_000234,INS_000354,souscripteur principal
CTR_000235,INS_000357,souscripteur principal
CTR_000236,INS_000359,souscripteur principal
CTR_000237,INS_000363,souscripteur principal
CTR_000237,INS_002664,conjoint
CTR_000238,INS_000364,souscripteur principal
CTR_000238,INS_002272,conjoint
CTR_000239,INS_000365,souscripteur principal
CTR_000239,INS_002405,enfant
CTR_000239,INS_002318,conjoint
CTR_000240,INS_000367,souscripteur principal
CTR_000241,INS_000368,souscripteur principal
CTR_000241,INS_004951,enfant
CTR_000241,INS_004509,enfant
CTR_000242,INS_000369,souscripteur principal
CTR_000243,INS_000372,souscripteur principal
CTR_000244,INS_000373,souscripteur principal
CTR_000245,INS_000374,souscripteur principal
CTR_000245,INS_002342,conducteur secondaire
CTR_000246,INS_000375,souscripteur principal
CTR_000246,INS_004339,conducteur secondaire
CTR_000247,INS_000376,souscripteur principal
CTR_000248,INS_000377,souscripteur principal
CTR_000249,INS_000378,souscripteur principal
CTR_000250,INS_000380,souscripteur principal
CTR_000250,INS_003004,conjoint
CTR_000251,INS_000382,souscripteur principal
CTR_000251,INS_004766,conjoint
CTR_000252,INS_000383,souscripteur principal
CTR_000253,INS_000384,souscripteur principal
CTR_000254,INS_000385,souscripteur principal
CTR_000255,INS_000387,souscripteur principal
CTR_000256,INS_000388,souscripteur principal
CTR_000257,INS_000389,souscripteur principal
CTR_000257,INS_005054,enfant
CTR_000258,INS_000390,souscripteur principal
CTR_000259,INS_000390,souscripteur principal
CTR_000260,INS_000391,souscripteur principal
CTR_000261,INS_000393,souscripteur principal
CTR_000262,INS_000395,souscripteur principal
CTR_000263,INS_000396,souscripteur principal
CTR_000264,INS_000397,souscripteur principal
CTR_000264,INS_002673,conjoint
CTR_000265,INS_000399,souscripteur principal
CTR_000266,INS_000401,souscripteur principal
CTR_000267,INS_000403,souscripteur principal
CTR_000268,INS_000406,souscripteur principal
CTR_000269,INS_000406,souscripteur principal
CTR_000269,INS_000557,conducteur secondaire
CTR_000269,INS_002332,enfant
CTR_000270,INS_000408,souscripteur principal
CTR_000270,INS_005449,conducteur secondaire
CTR_000271,INS_000409,souscripteur principal
CTR_000272,INS_000410,souscripteur principal
CTR_000273,INS_000412,souscripteur principal
CTR_000274,INS_000413,souscripteur principal
CTR_000275,INS_000419,souscripteur principal
CTR_000276,INS_000419,souscripteur principal
CTR_000276,INS_000150,conjoint
CTR_000277,INS_000420,souscripteur principal
CTR_000278,INS_000423,souscripteur principal
CTR_000279,INS_000424,souscripteur principal
CTR_000279,INS_001467,conducteur secondaire
CTR_000280,INS_000425,souscripteur principal
CTR_000281,INS_000426,souscripteur principal
CTR_000282,INS_000426,souscripteur principal
CTR_000283,INS_000427,souscripteur principal
CTR_000284,INS_000430,souscripteur principal
CTR_000285,INS_000431,souscripteur principal
CTR_000286,INS_000432,souscripteur principal
CTR_000286,INS_005488,conducteur secondaire
CTR_000287,INS_000433,souscripteur principal
CTR_000288,INS_000434,souscripteur principal
CTR_000288,INS_002317,enfant
CTR_000289,INS_000437,souscripteur principal
CTR_000289,INS_000076,conducteur secondaire
CTR_000290,INS_000439,souscripteur principal
CTR_000291,INS_000440,souscripteur principal
CTR_000292,INS_000442,souscripteur principal
CTR_000292,INS_002658,conducteur secondaire
CTR_000293,INS_000446,souscripteur principal
CTR_000294,INS_000447,souscripteur principal
CTR_000295,INS_000451,souscripteur principal
CTR_000296,INS_000452,souscripteur principal
CTR_000296,INS_003320,conjoint
CTR_000297,INS_000453,souscripteur principal
CTR_000298,INS_000454,souscripteur principal
CTR_000299,INS_000455,souscripteur principal
CTR_000300,INS_000457,souscripteur principal
CTR_000300,INS_002605,conjoint
CTR_000301,INS_000459,souscripteur principal
CTR_000302,INS_000460,souscripteur principal
CTR_000303,INS_000463,souscripteur principal
CTR_000304,INS_000463,souscripteur principal
CTR_000304,INS_005544,conjoint
CTR_000305,INS_000467,souscripteur principal
CTR_000305,INS_001027,enfant
CTR_000306,INS_000469,souscripteur principal
CTR_000307,INS_000470,souscripteur principal
CTR_000308,INS_000471,souscripteur principal
CTR_000309,INS_000475,souscripteur principal
CTR_000310,INS_000480,souscripteur principal
CTR_000310,INS_005996,conducteur secondaire
CTR_000311,INS_000482,souscripteur principal
CTR_000312,INS_000485,souscripteur principal
CTR_000313,INS_000487,souscripteur principal
CTR_000313,INS_005235,conducteur secondaire
CTR_000314,INS_000489,souscripteur principal
CTR_000315,INS_000491,souscripteur principal
CTR_000316,INS_000492,souscripteur principal
CTR_000317,INS_000493,souscripteur principal
CTR_000317,INS_004049,conjoint
CTR_000318,INS_000493,souscripteur principal
CTR_000318,INS_002867,enfant
CTR_000319,INS_000496,souscripteur principal
CTR_000320,INS_000498,souscripteur principal
CTR_000321,INS_000500,souscripteur principal
CTR_000322,INS_000504,souscripteur principal
CTR_000322,INS_005634,conducteur secondaire
CTR_000322,INS_003028,enfant
CTR_000323,INS_000505,souscripteur principal
CTR_000323,INS_001508,conducteur secondaire
CTR_000324,INS_000505,souscripteur principal
CTR_000325,INS_000505,souscripteur principal
CTR_000325,INS_002155,conducteur secondaire
CTR_000326,INS_000512,souscripteur principal
CTR_000326,INS_003065,conducteur secondaire
CTR_000326,INS_001264,enfant
CTR_000327,INS_000512,souscripteur principal
CTR_000328,INS_000512,souscripteur principal
CTR_000328,INS_002960,enfant
CTR_000329,INS_000513,souscripteur principal
CTR_000330,INS_000514,souscripteur principal
CTR_000331,INS_000515,souscripteur principal
CTR_000331,INS_001603,conducteur secondaire
CTR_000332,INS_000516,souscripteur principal
CTR_000333,INS_000520,souscripteur principal
CTR_000334,INS_000521,souscripteur principal
CTR_000335,INS_000523,souscripteur principal
CTR_000335,INS_001474,conjoint
CTR_000336,INS_000524,souscripteur principal
CTR_000336,INS_003794,enfant
CTR_000337,INS_000525,souscripteur principal
CTR_000338,INS_000526,souscripteur principal
CTR_000339,INS_000527,souscripteur principal
CTR_000340,INS_000528,souscripteur principal
CTR_000341,INS_000529,souscripteur principal
CTR_000342,INS_000530,souscripteur principal
CTR_000342,INS_004922,enfant
CTR_000343,INS_000533,souscripteur principal
CTR_000344,INS_000535,souscripteur principal
CTR_000344,INS_004372,conducteur secondaire
CTR_000345,INS_000537,souscripteur principal
CTR_000346,INS_000538,souscripteur principal
CTR_000347,INS_000539,souscripteur principal
CTR_000347,INS_002727,conducteur secondaire
CTR_000348,INS_000541,souscripteur principal
CTR_000349,INS_000543,souscripteur principal
CTR_000350,INS_000545,souscripteur principal
CTR_000351,INS_000547,souscripteur principal
CTR_000352,INS_000548,souscripteur principal
CTR_000353,INS_000550,souscripteur principal
CTR_000354,INS_000551,souscripteur principal
CTR_000354,INS_000560,conjoint
CTR_000355,INS_000553,souscripteur principal
CTR_000356,INS_000556,souscripteur principal
CTR_000357,INS_000558,souscripteur principal
CTR_000357,INS_004504,enfant
CTR_000357,INS_001975,conducteur secondaire
CTR_000358,INS_000560,souscripteur principal
CTR_000359,INS_000561,souscripteur principal
CTR_000359,INS_002152,enfant
CTR_000360,INS_000561,souscripteur principal
CTR_000361,INS_000563,souscripteur principal
CTR_000362,INS_000564,souscripteur principal
CTR_000363,INS_000569,souscripteur principal
CTR_000364,INS_000570,souscripteur principal
CTR_000365,INS_000573,souscripteur principal
CTR_000366,INS_000575,souscripteur principal
CTR_000366,INS_004074,conjoint
CTR_000367,INS_000576,souscripteur principal
CTR_000368,INS_000577,souscripteur principal
CTR_000368,INS_003713,conducteur secondaire
CTR_000368,INS_004182,conducteur secondaire
CTR_000369,INS_000578,souscripteur principal
CTR_000369,INS_003498,conjoint
CTR_000370,INS_000581,souscripteur principal
CTR_000371,INS_000582,souscripteur principal
CTR_000371,INS_001553,conducteur secondaire
CTR_000372,INS_000583,souscripteur principal
CTR_000373,INS_000588,souscripteur principal
CTR_000374,INS_000591,souscripteur principal
CTR_000374,INS_003215,enfant
CTR_000375,INS_000592,souscripteur principal
CTR_000376,INS_000593,souscripteur principal
CTR_000377,INS_000595,souscripteur principal
CTR_000378,INS_000597,souscripteur principal
CTR_000379,INS_000598,souscripteur principal
CTR_000380,INS_000598,souscripteur principal
CTR_000381,INS_000599,souscripteur principal
CTR_000382,INS_000601,souscripteur principal
CTR_000382,INS_004700,conducteur secondaire
CTR_000383,INS_000602,souscripteur principal
CTR_000384,INS_000603,souscripteur principal
CTR_000385,INS_000604,souscripteur principal
CTR_000386,INS_000605,souscripteur principal
CTR_000387,INS_000608,souscripteur principal
CTR_000387,INS_003488,conducteur secondaire
CTR_000388,INS_000609,souscripteur principal
CTR_000389,INS_000611,souscripteur principal
CTR_000389,INS_004113,enfant
CTR_000389,INS_004639,enfant
CTR_000390,INS_000615,souscripteur principal
CTR_000391,INS_000617,souscripteur principal
CTR_000392,INS_000620,souscripteur principal
CTR_000393,INS_000621,souscripteur principal
CTR_000393,INS_003186,conjoint
CTR_000394,INS_000623,souscripteur principal
CTR_000395,INS_000625,souscripteur principal
CTR_000395,INS_005606,conducteur secondaire
CTR_000396,INS_000626,souscripteur principal
CTR_000396,INS_005631,conjoint
CTR_000397,INS_000627,souscripteur principal
CTR_000398,INS_000628,souscripteur principal
CTR_000399,INS_000630,souscripteur principal
CTR_000400,INS_000630,souscripteur principal
CTR_000401,INS_000630,souscripteur principal
CTR_000402,INS_000631,souscripteur principal
CTR_000403,INS_000633,souscripteur principal
CTR_000404,INS_000636,souscripteur principal
CTR_000405,INS_000639,souscripteur principal
CTR_000406,INS_000640,souscripteur principal
CTR_000407,INS_000643,souscripteur principal
CTR_000407,INS_000607,conducteur secondaire
CTR_000407,INS_005373,conjoint
CTR_000408,INS_000645,souscripteur principal
CTR_000408,INS_005288,enfant
CTR_000408,INS_004160,conducteur secondaire
CTR_000409,INS_000646,souscripteur principal
CTR_000410,INS_000647,souscripteur principal
CTR_000411,INS_000648,souscripteur principal
CTR_000412,INS_000649,souscripteur principal
CTR_000413,INS_000650,souscripteur principal
CTR_000413,INS_005858,conducteur secondaire
CTR_000414,INS_000651,souscripteur principal
CTR_000415,INS_000652,souscripteur principal
CTR_000416,INS_000656,souscripteur principal
CTR_000417,INS_000657,souscripteur principal
CTR_000418,INS_000658,souscripteur principal
CTR_000418,INS_003703,conducteur secondaire
CTR_000419,INS_000660,souscripteur principal
CTR_000420,INS_000661,souscripteur principal
CTR_000421,INS_000662,souscripteur principal
CTR_000422,INS_000664,souscripteur principal
CTR_000423,INS_000665,souscripteur principal
CTR_000424,INS_000666,souscripteur principal
CTR_000424,INS_003531,conjoint
CTR_000424,INS_003898,conjoint
CTR_000425,INS_000667,souscripteur principal
CTR_000426,INS_000670,souscripteur principal
CTR_000426,INS_004174,enfant
CTR_000427,INS_000671,souscripteur principal
CTR_000428,INS_000674,souscripteur principal
CTR_000429,INS_000675,souscripteur principal
CTR_000430,INS_000676,souscripteur principal
CTR_000431,INS_000677,souscripteur principal
CTR_000432,INS_000678,souscripteur principal
CTR_000433,INS_000679,souscripteur principal
CTR_000433,INS_001796,conjoint
CTR_000433,INS_000507,conjoint
CTR_000434,INS_000680,souscripteur principal
CTR_000435,INS_000682,souscripteur principal
CTR_000435,INS_004463,enfant
CTR_000435,INS_002900,conducteur secondaire
CTR_000436,INS_000684,souscripteur principal
CTR_000437,INS_000687,souscripteur principal
CTR_000437,INS_003942,conjoint
CTR_000438,INS_000688,souscripteur principal
CTR_000439,INS_000689,souscripteur principal
CTR_000440,INS_000691,souscripteur principal
CTR_000441,INS_000692,souscripteur principal
CTR_000442,INS_000693,souscripteur principal
CTR_000443,INS_000695,souscripteur principal
CTR_000443,INS_002275,conducteur secondaire
CTR_000444,INS_000696,souscripteur principal
CTR_000445,INS_000698,souscripteur principal
CTR_000446,INS_000699,souscripteur principal
CTR_000447,INS_000702,souscripteur principal
CTR_000448,INS_000703,souscripteur principal
CTR_000449,INS_000705,souscripteur principal
CTR_000449,INS_005574,enfant
CTR_000450,INS_000706,souscripteur principal
CTR_000450,INS_001223,conducteur secondaire
CTR_000451,INS_000707,souscripteur principal
CTR_000451,INS_002996,enfant
CTR_000451,INS_004111,enfant
CTR_000452,INS_000709,souscripteur principal
CTR_000453,INS_000710,souscripteur principal
CTR_000453,INS_001380,enfant
CTR_000454,INS_000711,souscripteur principal
CTR_000455,INS_000711,souscripteur principal
CTR_000456,INS_000713,souscripteur principal
CTR_000457,INS_000713,souscripteur principal
CTR_000458,INS_000714,souscripteur principal
CTR_000458,INS_002703,conducteur secondaire
CTR_000459,INS_000715,souscripteur principal
CTR_000460,INS_000715,souscripteur principal
CTR_000461,INS_000715,souscripteur principal
CTR_000461,INS_003746,conducteur secondaire
CTR_000462,INS_000716,souscripteur principal
CTR_000462,INS_005763,enfant
CTR_000463,INS_000717,souscripteur principal
CTR_000463,INS_005896,enfant
CTR_000464,INS_000718,souscripteur principal
CTR_000464,INS_001528,conducteur secondaire
CTR_000465,INS_000719,souscripteur principal
CTR_000466,INS_000719,souscripteur principal
CTR_000466,INS_002815,conducteur secondaire
CTR_000467,INS_000720,souscripteur principal
CTR_000467,INS_003842,conducteur secondaire
CTR_000468,INS_000721,souscripteur principal
CTR_000469,INS_000722,souscripteur principal
CTR_000469,INS_000569,conjoint
CTR_000469,INS_001889,conjoint
CTR_000470,INS_000724,souscripteur principal
CTR_000471,INS_000725,souscripteur principal
CTR_000471,INS_003402,enfant
CTR_000472,INS_000727,souscripteur principal
CTR_000472,INS_001728,conjoint
CTR_000473,INS_000727,souscripteur principal
CTR_000474,INS_000728,souscripteur principal
CTR_000475,INS_000729,souscripteur principal
CTR_000476,INS_000731,souscripteur principal
CTR_000476,INS_002600,enfant
CTR_000477,INS_000733,souscripteur principal
CTR_000477,INS_003517,conjoint
CTR_000478,INS_000735,souscripteur principal
CTR_000479,INS_000741,souscripteur principal
CTR_000480,INS_000743,souscripteur principal
CTR_000481,INS_000744,souscripteur principal
CTR_000482,INS_000745,souscripteur principal
CTR_000483,INS_000750,souscripteur principal
CTR_000483,INS_000103,enfant
CTR_000484,INS_000751,souscripteur principal
CTR_000485,INS_000752,souscripteur principal
CTR_000485,INS_004545,enfant
CTR_000486,INS_000753,souscripteur principal
CTR_000487,INS_000754,souscripteur principal
CTR_000487,INS_001108,conducteur secondaire
CTR_000488,INS_000755,souscripteur principal
CTR_000489,INS_000757,souscripteur principal
CTR_000490,INS_000757,souscripteur principal
CTR_000490,INS_002867,conjoint
