claim_id,contract_id,insured_id,incident_type,incident_severity,incident_date,incident_hour,incident_day_of_week,declaration_delay_days,declaration_date,region,vehicle_brand,vehicle_age,contract_type,annual_premium,total_claim_amount,driver_age,months_as_customer,annual_income,profession,witnesses,prior_claims,bodily_injuries,police_report,garage_id,expert_id,garage_sra_certified,expert_certified,is_covered,claims_last_36m_agira,agira_ext_count,blacklisted,incident_description,description_word_count,fraud_reported,fraud_indicators,suspicious_points
CLM_000016,CTR_003233,INS_004895,Bris de glace,modéré,2023-12-28,13,3,1,2023-12-29,Centre-Val de Loire,Nissan,3,Au tiers,640.0,200.0,67,17,42800.0,artisan,0,0,2,Oui,GAR_0032,EXP_009,True,True,False,0,1,False,Projection de gravillon sur l'autoroute rue Éric Laurent. Pare-brise fissuré.,10,1,"['vol fictif', 'incendie volontaire', 'expert complaisant']",2.0
CLM_000017,CTR_003604,INS_005431,Collision multi-véhicules,mineur,2022-01-12,11,2,3,2022-01-15,Centre-Val de Loire,Fiat,13,Tous risques + assistance,1147.5,3200.0,40,53,30100.0,retraité,2,0,0,Oui,GAR_0049,EXP_014,True,True,True,0,4,False,Sinistre de type Collision multi-véhicules survenu à Lemaire. Dommages évalués à 3200€.,12,1,"['sinistre fictif déclaré', 'gonflement des dommages matériels', 'expert complaisant']",2.0
CLM_000018,CTR_002753,INS_004135,Incendie accidentel,grave,2024-05-26,9,6,60,2024-07-25,Nouvelle-Aquitaine,Citroën,9,Tous risques + assistance,1492.5,4000.0,78,4,18300.0,fonctionnaire,0,2,0,Non,GAR_0022,EXP_019,True,False,True,0,0,True,Départ de feu moteur lors d'un trajet. Vehicule immobilisé.,9,1,"['expert complaisant', 'garage complice (surfacturation)']",7.5
CLM_000019,CTR_003030,INS_004576,Dégradation volontaire,grave,2022-02-04,11,4,2,2022-02-06,Auvergne-Rhône-Alpes,Nissan,4,Tiers + vol/incendie,371.0,1700.0,58,56,89500.0,cadre supérieur,0,1,1,Oui,GAR_0022,AUCUN,True,True,False,0,2,False,Sinistre de type Dégradation volontaire survenu à Lecomte-sur-Gaudin. Dommages évalués à 1700€.,12,0,[],2.7
CLM_000020,CTR_003790,INS_005699,Bris de glace,mineur,2024-12-16,14,0,1,2024-12-17,Pays de la Loire,Skoda,5,Tous risques,483.6,500.0,67,72,94300.0,cadre supérieur,0,1,0,Non,GAR_0004,AUCUN,True,True,True,0,0,False,Projection de gravillon sur l'autoroute rue Joséphine Leclerc. Pare-brise fissuré.,10,0,[],0.0
CLM_000021,CTR_001113,INS_001662,Dégradation volontaire,modéré,2022-02-05,17,5,7,2022-02-12,Auvergne-Rhône-Alpes,Dacia,2,Tous risques,1388.4,800.0,73,25,26400.0,ouvrier,3,0,1,Oui,GAR_0003,AUCUN,True,True,True,0,0,False,Sinistre de type Dégradation volontaire survenu à Perrin. Dommages évalués à 800€.,12,0,[],0.3
CLM_000022,CTR_002362,INS_003559,Incendie criminel,grave,2024-05-18,17,5,1,2024-05-19,Île-de-France,Fiat,2,Tiers étendu,508.95,17300.0,79,34,12100.0,étudiant,2,1,1,Oui,GAR_0027,EXP_017,True,True,True,0,0,False,Traces d'accélérant constatées par les pompiers.,6,0,[],2.0
CLM_000023,CTR_002654,INS_003995,Bris de glace,important,2022-06-18,12,5,30,2022-07-18,Auvergne-Rhône-Alpes,Toyota,2,Tous risques,1242.0,400.0,54,42,42800.0,auto-entrepreneur,1,1,0,Oui,GAR_0042,AUCUN,True,True,True,0,1,False,Projection de gravillon sur l'autoroute boulevard Hoarau. Pare-brise fissuré.,9,1,"['fausse déclaration de blessé', 'sinistre antidaté']",1.0
CLM_000024,CTR_000031,INS_000052,Stationnement endommagé,modéré,2022-04-19,9,1,3,2022-04-22,Pays de la Loire,Kia,4,Tous risques,396.0,1100.0,33,38,42800.0,auto-entrepreneur,1,0,0,Oui,GAR_0038,EXP_019,False,False,True,0,2,False,Sinistre de type Stationnement endommagé survenu à Lesage. Dommages évalués à 1100€.,12,0,[],1.0
CLM_000025,CTR_002895,INS_004356,Bris de glace,mineur,2023-05-04,10,3,7,2023-05-11,Hauts-de-France,Ford,4,Tous risques,216.0,500.0,71,21,23200.0,chauffeur,1,0,0,Oui,GAR_0033,EXP_010,False,True,True,0,0,False,Projection de gravillon sur l'autoroute rue Gauthier. Pare-brise fissuré.,9,0,[],0.5
CLM_000026,CTR_003095,INS_004688,Collision multi-véhicules,important,2024-06-24,9,0,3,2024-06-27,Provence-Alpes-Côte d'Azur,Kia,3,Tiers étendu,495.0,8700.0,45,11,28700.0,retraité,0,0,0,Oui,GAR_0039,EXP_004,True,False,False,0,0,False,Sinistre de type Collision multi-véhicules survenu à FischerVille. Dommages évalués à 8700€.,12,1,"['incendie volontaire', 'garage complice (surfacturation)']",4.2
CLM_000027,CTR_002935,INS_004423,Bris de glace,mineur,2022-04-27,11,2,7,2022-05-04,Nouvelle-Aquitaine,Tesla,7,Tiers étendu,421.2,800.0,35,17,34900.0,artisan,0,2,0,Oui,GAR_0038,EXP_003,False,False,True,0,0,False,Vitre latérale brisée lors du stationnement.,6,0,[],2.0
CLM_000028,CTR_002036,INS_003063,Stationnement endommagé,modéré,2024-08-31,0,5,3,2024-09-03,Hauts-de-France,Renault,13,Au tiers,354.25,900.0,68,71,20200.0,cadre,0,2,0,Non,GAR_0037,EXP_017,True,True,False,0,1,False,Sinistre de type Stationnement endommagé survenu à Maurice-sur-Mer. Dommages évalués à 900€.,12,0,[],3.8
CLM_000029,CTR_002363,INS_003559,Collision multi-véhicules,grave,2024-03-03,13,6,1,2024-03-04,Île-de-France,Volkswagen,3,Au tiers,425.0,200.0,79,15,12100.0,étudiant,3,1,0,Oui,GAR_0027,EXP_013,True,True,False,1,0,False,Sinistre de type Collision multi-véhicules survenu à Courtoisnec. Dommages évalués à 200€.,12,0,[],3.0
CLM_000030,CTR_002538,INS_003826,Dommages grêle,mineur,2023-05-10,11,2,3,2023-05-13,Grand Est,Renault,11,Tiers + vol/incendie,325.5,1400.0,66,71,13900.0,étudiant,3,0,1,Oui,GAR_0035,EXP_012,True,True,False,0,0,False,Sinistre de type Dommages grêle survenu à Teixeiranec. Dommages évalués à 1400€.,12,1,"['garage complice (surfacturation)', 'vol fictif']",2.0
CLM_000031,CTR_003368,INS_005077,Dégradation volontaire,important,2023-02-04,8,5,2,2023-02-06,Occitanie,Fiat,4,Tous risques,324.0,1100.0,26,68,16700.0,étudiant,0,3,0,Non,GAR_0003,EXP_007,True,True,True,0,0,False,Sinistre de type Dégradation volontaire survenu à Saint Philippe. Dommages évalués à 1100€.,13,0,[],3.0
CLM_000032,CTR_003098,INS_004692,Collision avec animal,mineur,2024-10-02,17,2,7,2024-10-09,Auvergne-Rhône-Alpes,Peugeot,5,Au tiers,542.75,1600.0,77,35,19800.0,retraité,0,0,1,Oui,GAR_0011,AUCUN,True,True,False,0,0,False,Sinistre de type Collision avec animal survenu à Guyot. Dommages évalués à 1600€.,13,1,"['réseau organisé de faux témoins', 'accident provoqué volontairement']",2.0
CLM_000033,CTR_002751,INS_004133,Collision avec animal,modéré,2022-08-24,10,2,7,2022-08-31,Nouvelle-Aquitaine,Audi,3,Tiers + vol/incendie,528.5,600.0,33,58,56900.0,cadre,1,3,1,Oui,GAR_0032,AUCUN,True,True,False,0,0,False,Sinistre de type Collision avec animal survenu à Sainte Matthieu. Dommages évalués à 600€.,14,0,[],3.0
CLM_000034,CTR_002380,INS_003579,Collision simple,grave,2022-05-30,13,0,2,2022-06-01,Nouvelle-Aquitaine,BMW,12,Tous risques,654.0,7500.0,37,10,18600.0,retraité,1,1,2,Non,GAR_0028,EXP_011,True,True,True,0,0,False,Collision avec un autre véhicule sur la rue Bertrand Paris. Dommages sur le côté arrière.,15,0,[],1.0
CLM_000035,CTR_000944,INS_001428,Collision avec animal,mineur,2024-09-02,12,0,30,2024-10-02,Hauts-de-France,Jeep,3,Tous risques,1099.8,5300.0,51,52,31100.0,enseignant,0,0,0,Oui,GAR_0039,EXP_015,True,True,True,0,0,False,Sinistre de type Collision avec animal survenu à Marie. Dommages évalués à 5300€.,13,1,['sinistre fictif déclaré'],0.0
CLM_000036,CTR_001245,INS_001843,Dommages grêle,important,2024-09-22,7,6,1,2024-09-23,Occitanie,Volkswagen,1,Tous risques,1474.2,1900.0,39,73,40100.0,auto-entrepreneur,2,0,1,Non,GAR_0033,EXP_020,False,True,True,0,5,False,Sinistre de type Dommages grêle survenu à Couturier-sur-Lelièvre. Dommages évalués à 1900€.,12,1,"['vol fictif', 'garage complice (surfacturation)', 'conducteur substitué']",5.5
CLM_000037,CTR_002469,INS_003717,Dommages grêle,important,2022-05-27,12,4,60,2022-07-26,Nouvelle-Aquitaine,Kia,9,Tiers étendu,369.0,2100.0,45,3,30600.0,enseignant,0,2,0,Oui,GAR_0045,EXP_006,True,True,True,0,0,False,Sinistre de type Dommages grêle survenu à Saint Patricia. Dommages évalués à 2100€.,13,0,[],3.7
CLM_000038,CTR_000288,INS_000434,Collision multi-véhicules,modéré,2023-03-26,6,6,2,2023-03-28,Bourgogne-Franche-Comté,Kia,16,Tous risques,319.8,9200.0,41,30,21900.0,auto-entrepreneur,1,1,0,Oui,GAR_0042,EXP_002,True,True,True,0,1,False,Sinistre de type Collision multi-véhicules survenu à Fleuryboeuf. Dommages évalués à 9200€.,12,0,[],0.3
CLM_000039,CTR_002514,INS_003792,Inondation / submersion,mineur,2024-10-06,10,6,7,2024-10-13,Bretagne,Tesla,3,Tous risques + assistance,990.0,5100.0,65,32,46700.0,cadre,0,0,0,Oui,GAR_0019,EXP_005,True,True,True,0,0,False,Sinistre de type Inondation / submersion survenu à Sainte Auguste. Dommages évalués à 5100€.,14,0,[],0.3
CLM_000040,CTR_002401,INS_003612,Collision multi-véhicules,mineur,2024-05-15,9,2,60,2024-07-14,Hauts-de-France,Seat,20,Au tiers,200.0,6100.0,72,52,10600.0,artisan,1,1,0,Oui,GAR_0012,AUCUN,True,True,False,0,0,False,Sinistre de type Collision multi-véhicules survenu à Dumont-sur-Voisin. Dommages évalués à 6100€.,12,0,[],2.0
CLM_000041,CTR_000406,INS_000640,Bris de glace,grave,2022-06-21,10,1,60,2022-08-20,Nouvelle-Aquitaine,Dacia,4,Tous risques,1056.0,600.0,39,50,30400.0,commerçant,3,3,0,Non,GAR_0044,AUCUN,True,True,True,0,0,False,Vitre latérale brisée lors du stationnement.,6,0,[],4.7
CLM_000042,CTR_000167,INS_000249,Bris de glace,modéré,2023-07-12,15,2,0,2023-07-12,Bretagne,Seat,11,Tous risques,984.0,600.0,63,68,28500.0,commerçant,0,0,0,Non,GAR_0013,AUCUN,False,True,True,0,0,False,Projection de gravillon sur l'autoroute rue Toussaint. Pare-brise fissuré.,9,0,[],0.5
CLM_000043,CTR_000435,INS_000682,Dommages grêle,grave,2023-03-08,11,2,3,2023-03-11,Provence-Alpes-Côte d'Azur,Volkswagen,4,Tiers étendu,661.5,2600.0,79,51,38300.0,technicien,2,4,0,Oui,GAR_0001,EXP_017,True,True,True,0,0,False,Sinistre de type Dommages grêle survenu à Lopez. Dommages évalués à 2600€.,12,0,[],1.7
CLM_000044,CTR_001830,INS_002743,Bris de glace,important,2024-07-10,16,2,7,2024-07-17,Île-de-France,Seat,6,Tous risques,816.0,500.0,52,41,23800.0,chef d'entreprise,0,0,0,Oui,GAR_0044,EXP_011,True,True,True,0,0,False,Projection de gravillon sur l'autoroute boulevard Millet. Pare-brise fissuré.,9,0,[],1.7
CLM_000045,CTR_000172,INS_000254,Bris de glace,mineur,2024-02-15,8,3,3,2024-02-18,Île-de-France,Peugeot,4,Tous risques,612.0,200.0,68,55,93300.0,médecin,3,0,0,Oui,GAR_0026,AUCUN,True,True,True,0,4,False,Projection de gravillon sur l'autoroute chemin Éléonore Hervé. Pare-brise fissuré.,10,0,[],2.0
CLM_000046,CTR_003626,INS_005465,Bris de glace,modéré,2023-01-05,9,3,2,2023-01-07,Hauts-de-France,Peugeot,4,Tous risques,1002.0,400.0,24,31,26500.0,auto-entrepreneur,3,0,0,Oui,GAR_0029,AUCUN,True,True,True,0,0,False,Projection de gravillon sur l'autoroute rue Salmon. Pare-brise fissuré.,9,1,"['multi-déclaration même sinistre', 'sinistre antidaté']",0.0
CLM_000047,CTR_000559,INS_000855,Vol à la roulette,modéré,2023-10-19,12,3,3,2023-10-22,Bourgogne-Franche-Comté,Renault,5,Tous risques + assistance,225.0,1000.0,54,8,101600.0,chef d'entreprise,0,1,0,Oui,GAR_0011,EXP_007,True,True,True,0,0,False,Sinistre de type Vol à la roulette survenu à Blanchet. Dommages évalués à 1000€.,14,0,[],0.0
CLM_000048,CTR_002484,INS_003739,Bris de glace,mineur,2024-02-19,6,0,14,2024-03-04,Île-de-France,Kia,9,Tous risques,624.0,1300.0,23,48,35300.0,cadre,2,4,2,Non,GAR_0046,AUCUN,False,True,True,0,2,False,Vitre latérale brisée lors du stationnement.,6,0,[],1.5
CLM_000049,CTR_003694,INS_005576,Dommages grêle,modéré,2022-06-07,7,1,3,2022-06-10,Auvergne-Rhône-Alpes,Audi,0,Au tiers,289.25,1200.0,23,24,22100.0,retraité,2,1,0,Non,GAR_0050,AUCUN,True,True,False,0,1,False,Sinistre de type Dommages grêle survenu à Lemaître. Dommages évalués à 1200€.,12,1,"['garage complice (surfacturation)', 'expert complaisant']",2.0
CLM_000050,CTR_002380,INS_003579,Bris de glace,mineur,2023-09-01,11,4,2,2023-09-03,Nouvelle-Aquitaine,BMW,12,Tous risques,654.0,900.0,37,10,18600.0,retraité,0,3,0,Non,GAR_0036,AUCUN,True,True,True,1,0,False,Projection de gravillon sur l'autoroute rue de Guillet. Pare-brise fissuré.,10,0,[],1.0
CLM_000051,CTR_002630,INS_003965,Bris de glace,mineur,2022-11-12,16,5,1,2022-11-13,Pays de la Loire,Audi,2,Tiers étendu,200.0,200.0,30,16,39200.0,commerçant,0,1,0,Oui,GAR_0010,EXP_009,True,True,True,0,0,False,Vitre latérale brisée lors du stationnement.,6,0,[],0.3
CLM_000052,CTR_002795,INS_004204,Stationnement endommagé,modéré,2024-11-05,10,1,7,2024-11-12,Grand Est,Peugeot,5,Tiers étendu,200.0,1100.0,79,73,20300.0,artisan,0,0,0,Oui,GAR_0014,AUCUN,True,True,True,0,0,False,Sinistre de type Stationnement endommagé survenu à Sainte Roland. Dommages évalués à 1100€.,13,0,[],0.0
CLM_000053,CTR_002640,INS_003980,Stationnement endommagé,mineur,2023-05-05,14,4,14,2023-05-19,Occitanie,Citroën,0,Tous risques,678.0,1500.0,69,26,45600.0,fonctionnaire,1,2,0,Oui,GAR_0045,EXP_016,True,True,True,0,1,False,Sinistre de type Stationnement endommagé survenu à Raymondboeuf. Dommages évalués à 1500€.,12,0,[],1.0
CLM_000054,CTR_001094,INS_001639,Stationnement endommagé,important,2023-08-28,13,0,14,2023-09-11,Île-de-France,Citroën,12,Au tiers,200.0,1400.0,44,33,44800.0,commercial,1,1,0,Non,GAR_0041,EXP_018,True,True,False,0,0,False,Sinistre de type Stationnement endommagé survenu à Michaud. Dommages évalués à 1400€.,12,1,"['sinistre antidaté', 'multi-déclaration même sinistre']",3.7
CLM_000055,CTR_002952,INS_004455,Stationnement endommagé,modéré,2023-01-31,17,1,30,2023-03-02,Île-de-France,Ford,2,Au tiers,465.0,1500.0,38,69,39600.0,enseignant,3,0,0,Oui,GAR_0020,AUCUN,True,True,False,0,0,False,Sinistre de type Stationnement endommagé survenu à Saint Anne. Dommages évalués à 1500€.,13,1,"['réseau organisé de faux témoins', 'multi-déclaration même sinistre']",2.0
CLM_000056,CTR_001044,INS_001572,Collision multi-véhicules,important,2022-06-02,18,3,2,2022-06-04,Pays de la Loire,Kia,14,Au tiers,200.0,5700.0,34,16,8500.0,sans emploi,0,0,1,Oui,GAR_0048,EXP_007,True,True,False,0,0,False,Sinistre de type Collision multi-véhicules survenu à Saint Éléonore-la-Forêt. Dommages évalués à 5700€.,13,1,"['vol fictif', 'conducteur substitué']",4.7
CLM_000057,CTR_002464,INS_003708,Bris de glace,important,2022-10-06,11,3,7,2022-10-13,Nouvelle-Aquitaine,Opel,12,Tiers + vol/incendie,222.95,500.0,74,28,15800.0,chef d'entreprise,2,1,0,Non,GAR_0043,AUCUN,True,True,True,0,0,False,Vitre latérale brisée lors du stationnement.,6,1,['sinistre fictif déclaré'],1.7
CLM_000058,CTR_002003,INS_003011,Dommages grêle,modéré,2024-10-15,11,1,2,2024-10-17,Centre-Val de Loire,Audi,8,Tiers étendu,400.5,1400.0,66,18,47300.0,cadre,1,1,1,Oui,GAR_0047,AUCUN,False,True,True,0,1,False,Sinistre de type Dommages grêle survenu à Bourdon. Dommages évalués à 1400€.,12,0,[],0.5
CLM_000059,CTR_002569,INS_003871,Dégradation volontaire,mineur,2024-02-25,16,6,3,2024-02-28,Provence-Alpes-Côte d'Azur,Skoda,8,Tous risques,873.6,1400.0,71,58,19900.0,chauffeur,0,0,1,Oui,GAR_0014,EXP_012,True,True,True,0,0,False,Sinistre de type Dégradation volontaire survenu à Lopes-sur-Dubois. Dommages évalués à 1400€.,12,0,[],0.3
CLM_000060,CTR_003297,INS_004972,Vol à la roulette,important,2024-05-09,4,3,1,2024-05-10,Centre-Val de Loire,Audi,10,Tiers + vol/incendie,483.0,1500.0,32,43,47800.0,commerçant,0,0,0,Oui,GAR_0048,AUCUN,True,True,True,0,1,False,Sinistre de type Vol à la roulette survenu à Da Costa. Dommages évalués à 1500€.,15,0,[],0.5
CLM_000061,CTR_000947,INS_001434,Stationnement endommagé,modéré,2024-02-03,19,5,3,2024-02-06,Pays de la Loire,Seat,19,Tous risques + assistance,200.0,1600.0,29,46,38900.0,artisan,0,0,0,Oui,GAR_0032,AUCUN,True,True,True,0,0,False,Sinistre de type Stationnement endommagé survenu à MoulinVille. Dommages évalués à 1600€.,12,0,[],0.3
CLM_000062,CTR_000185,INS_000280,Dommages grêle,mineur,2024-03-07,10,3,2,2024-03-09,Nouvelle-Aquitaine,Toyota,6,Tiers + vol/incendie,373.1,1900.0,47,40,50900.0,artisan,1,0,0,Non,GAR_0010,EXP_019,True,False,False,0,0,False,Sinistre de type Dommages grêle survenu à Gillesnec. Dommages évalués à 1900€.,12,0,[],2.5
CLM_000063,CTR_002328,INS_003506,Vol à la roulette,grave,2024-12-25,20,2,7,2025-01-01,Occitanie,Seat,3,Tous risques,852.0,800.0,31,52,24100.0,chauffeur,1,3,1,Oui,GAR_0007,EXP_016,True,True,True,0,0,False,Sinistre de type Vol à la roulette survenu à Pineau. Dommages évalués à 800€.,14,0,[],1.7
CLM_000064,CTR_003626,INS_005465,Collision multi-véhicules,modéré,2024-09-02,7,0,1,2024-09-03,Hauts-de-France,Peugeot,4,Tous risques,1002.0,3700.0,24,31,26500.0,auto-entrepreneur,1,0,0,Non,GAR_0011,EXP_018,True,True,True,1,0,False,Sinistre de type Collision multi-véhicules survenu à Lemoine. Dommages évalués à 3700€.,12,0,[],0.0
CLM_000065,CTR_003134,INS_004751,Bris de glace,modéré,2022-03-18,10,4,3,2022-03-21,Bourgogne-Franche-Comté,Fiat,5,Au tiers,332.5,300.0,34,54,26100.0,technicien,0,1,0,Oui,GAR_0043,EXP_011,True,True,False,0,0,False,Projection de gravillon sur l'autoroute avenue Leconte. Pare-brise fissuré.,9,0,[],2.0
CLM_000066,CTR_003643,INS_005490,Dégradation volontaire,modéré,2022-10-30,6,6,60,2022-12-29,Pays de la Loire,Toyota,2,Tous risques + assistance,1042.5,1900.0,61,67,30000.0,infirmier,2,0,0,Non,GAR_0017,AUCUN,True,True,True,0,2,False,Sinistre de type Dégradation volontaire survenu à Gilbert-sur-Gauthier. Dommages évalués à 1900€.,12,0,[],0.3
CLM_000067,CTR_001134,INS_001692,Stationnement endommagé,modéré,2024-09-15,11,6,2,2024-09-17,Occitanie,Renault,0,Tous risques,1583.4,700.0,41,39,26500.0,technicien,0,0,0,Oui,GAR_0019,EXP_014,True,True,True,0,2,False,Sinistre de type Stationnement endommagé survenu à Sainte Emmanuelledan. Dommages évalués à 700€.,13,0,[],0.3
CLM_000068,CTR_000519,INS_000798,Bris de glace,important,2023-12-14,5,3,30,2024-01-13,Île-de-France,BMW,5,Tiers étendu,594.0,600.0,70,16,41000.0,fonctionnaire,0,3,0,Non,GAR_0026,AUCUN,True,True,True,0,0,False,Vitre latérale brisée lors du stationnement.,6,1,"['accident provoqué volontairement', 'réseau organisé de faux témoins', 'fausse déclaration de tiers']",3.2
CLM_000069,CTR_003054,INS_004616,Collision simple,important,2022-04-01,8,4,3,2022-04-04,Occitanie,Tesla,9,Tous risques + assistance,630.0,6100.0,51,66,15100.0,retraité,1,0,1,Non,GAR_0006,EXP_006,False,True,True,0,0,False,Accrochage en sortie de rond-point. 1 témoin(s) présent(s).,8,1,"['gonflement des dommages matériels', 'incendie volontaire']",2.2
CLM_000070,CTR_001818,INS_002726,Stationnement endommagé,modéré,2024-01-02,10,1,7,2024-01-09,Nouvelle-Aquitaine,Volkswagen,7,Tiers + vol/incendie,437.5,500.0,78,42,8000.0,sans emploi,0,4,0,Oui,GAR_0020,EXP_002,True,True,False,0,0,False,Sinistre de type Stationnement endommagé survenu à De Sousa-sur-Mer. Dommages évalués à 500€.,13,0,[],3.0
CLM_000071,CTR_001825,INS_002737,Collision multi-véhicules,mineur,2023-09-13,18,2,3,2023-09-16,Normandie,Ford,2,Tous risques,900.0,7200.0,76,30,60500.0,commercial,1,1,0,Oui,GAR_0038,EXP_001,False,True,True,0,0,True,Sinistre de type Collision multi-véhicules survenu à Nicolas. Dommages évalués à 7200€.,12,1,['sinistre fictif déclaré'],3.5
